AO_AVAILDAYS,SERVICE
139079.52,Air Force
0.0,Air Force
192492.72,Air Force
167075.52,Air Force
93403.92,Air Force
145037.28,Air Force
109477.92,Air Force
138233.52,Air Force
173535.12,Air Force
179936.4,Air Force
175946.88,Air Force
146959.92,Air Force
194152.32,Air Force
186968.4,Air Force
49566.48,Air Force
163673.52,Air Force
65797.2,Air Force
574.08,Air Force
151160.88,Air Force
167463.12,Air Force
123532.08,Air Force
146200.32,Air Force
88700.4,Air Force
175686.72,Air Force
169114.8,Air Force
75991.68,Air Force
79026.0,Air Force
168102.72,Air Force
140943.12,Air Force
167073.12,Air Force
117495.6,Air Force
151724.88,Air Force
107587.92,Air Force
57305.28,Air Force
148276.32,Air Force
133141.2,Air Force
140773.2,Air Force
124249.2,Air Force
153594.48,Air Force
138577.92,Air Force
37853.28,Air Force
169904.88,Air Force
152650.08,Air Force
176320.8,Air Force
166612.08,Air Force
78060.72,Air Force
121881.12,Air Force
194606.88,Air Force
97162.8,Air Force
153973.92,Air Force
173794.8,Air Force
158116.08,Air Force
97914.72,Air Force
179629.68,Air Force
169611.6,Air Force
120798.48,Air Force
187495.2,Air Force
119641.2,Air Force
136646.4,Air Force
114183.12,Air Force
77810.4,Air Force
84517.92,Air Force
140840.88,Air Force
90566.4,Air Force
130309.92,Air Force
92975.52,Air Force
112811.28,Air Force
102235.2,Air Force
124230.72,Air Force
80106.0,Air Force
162547.92,Air Force
87768.72,Air Force
47883.36,Air Force
133138.8,Air Force
161105.52,Air Force
164650.8,Air Force
165652.32,Air Force
64259.28,Air Force
76412.4,Air Force
68849.52,Air Force
161195.52,Air Force
155893.2,Air Force
138351.12,Air Force
178295.28,Air Force
128599.92,Air Force
144424.8,Air Force
147649.92,Air Force
143907.12,Air Force
117234.48,Air Force
156882.48,Air Force
193938.0,Air Force
69163.68,Air Force
166797.6,Air Force
83903.52,Air Force
145975.92,Air Force
179833.2,Air Force
78448.08,Air Force
159534.72,Air Force
162873.6,Air Force
113398.8,Air Force
90802.32,Air Force
67701.6,Air Force
164511.6,Air Force
180919.92,Air Force
101485.92,Air Force
182297.52,Air Force
148290.0,Air Force
20521.2,Air Force
194778.0,Air Force
172284.0,Air Force
133338.48,Air Force
157402.08,Air Force
86341.2,Air Force
169194.0,Air Force
172351.92,Air Force
109917.12,Air Force
167047.68,Air Force
177712.8,Air Force
187956.48,Air Force
164219.52,Air Force
157845.12,Air Force
144852.48,Air Force
171875.28,Air Force
155150.4,Air Force
197584.32,Air Force
178465.2,Air Force
170370.48,Air Force
155784.0,Air Force
175432.8,Air Force
164627.52,Air Force
152398.8,Air Force
173739.12,Air Force
157561.68,Air Force
110476.8,Air Force
72540.48,Air Force
176140.08,Air Force
150499.2,Air Force
139462.32,Air Force
125759.28,Air Force
161655.6,Air Force
128149.44,Air Force
138893.52,Air Force
11640.0,Air Force
167615.28,Air Force
180102.72,Air Force
204246.48,Air Force
177647.28,Air Force
173291.28,Air Force
175031.28,Air Force
77783.52,Air Force
155827.2,Air Force
167541.12,Air Force
179546.4,Air Force
177614.4,Air Force
162389.28,Air Force
63926.88,Air Force
165863.52,Air Force
139119.6,Air Force
150837.12,Air Force
86092.08,Air Force
81861.12,Air Force
174421.68,Air Force
182216.4,Air Force
155307.6,Air Force
173795.28,Air Force
97383.6,Air Force
195393.12,Air Force
151577.28,Air Force
180713.28,Air Force
33193.2,Air Force
175193.28,Air Force
151088.4,Air Force
172788.72,Air Force
99038.88,Air Force
47766.0,Air Force
68389.92,Air Force
114296.4,Air Force
162802.08,Air Force
104318.4,Air Force
195497.52,Air Force
113657.52,Air Force
150866.4,Air Force
175198.32,Air Force
132750.48,Air Force
136509.12,Air Force
143841.12,Air Force
157294.32,Air Force
143878.08,Air Force
146940.0,Air Force
105454.08,Air Force
170403.12,Air Force
184091.28,Air Force
126487.68,Air Force
116450.88,Air Force
