COMPONENT,COST_AMOUNT,FYYearInt,LEVEL_OF_MAINTENANCE,NATURE_OF_COST,NON_MAINTAINERS,NUMBER_OF_MAINTAINERS,PER_CAPITA_RATE,PROVIDER_OF_MAINTENANCE,SERVICE
Total,36804.52595,2010,Field,Labor,,575428,63960.26254,Organic,Total DoD
Total,37315.12071,2012,Field,Labor,,565081,66034.99447,Organic,Total DoD
,0,2008,Field,Materials,,,,Commercial,Other DoD
,0,2009,Field,Overhead,,,,Commercial,Other DoD
,0,2010,Field,Overhead,,,,Commercial,Other DoD
,0,2011,Field,Labor,,,,Commercial,Other DoD
,0,2011,Field,Materials,,,,Commercial,Other DoD
,0,2012,Field,Materials,,,,Organic,Other DoD
,0,2012,Field,Overhead,,,,Commercial,Other DoD
,0,2013,Field,Labor,,,,Commercial,Other DoD
,0,2013,Field,Materials,,,,Commercial,Other DoD
,0,2014,Field,Labor,,,,Commercial,Other DoD
,0.384790011,2015,Depot,Overhead,,,,Organic,Other DoD
,0.555807794,2014,Depot,Overhead,,,,Organic,Other DoD
,1.289079229,2009,Depot,Overhead,,,,Commercial,Marine Corps
,1.929625426,2017,Depot,Contract,,,,Organic,Other DoD
,2.752679389,2014,Field,Overhead,,,,Organic,Other DoD
,3.377601211,2016,Depot,Overhead,,,,Organic,Other DoD
