DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,,G,TRLR600GAL,TRAILER,0,,,2010,f,t,,,0,,Air Force,0,0,TRLR600GAL
AFA,,G,TRLR600GAL,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR600GAL
AFA,,G,TRLR7206,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR7206
AFA,,G,TRLR7206,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR7206
AFA,,G,TRLR7206,TRAILER,0,,,2012,f,t,,,0,,Air Force,0,0,TRLR7206
AFA,,G,TRLR7591,TRAILER,0,,,2010,f,t,,,0,,Air Force,0,0,TRLR7591
AFA,,G,TRLR7591,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR7591
AFA,,G,TRLR7930,TRAILER,0,,,2009,f,t,,,0,,Air Force,0,0,TRLR7930
AFA,,G,TRLR7930,TRAILER,0,,,2012,f,t,,,0,,Air Force,0,0,TRLR7930
AFA,,G,TRLR7930,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR7930
AFA,,G,TRLR7930,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR7930
AFA,,X,TROLLEY,TROLLEY,0,,,2009,f,f,,,0,,Air Force,0,0,TROLLEY
AFA,,X,TROLLEY,TROLLEY,0,,,2010,f,f,,,0,,Air Force,0,0,TROLLEY
AFA,,X,TROUGH,TROUGH,0,,,2011,f,f,,,0,,Air Force,0,0,TROUGH
AFA,TG,G,TRUCK,TRUCK,0,,,2008,t,f,,,0,,Air Force,0,0,TRUCK
AFA,TG,G,TRUCK,TRUCK,0,,,2011,t,f,,,0,,Air Force,0,0,TRUCK
AFA,TG,G,TRUCK,TRUCK,0,,,2012,t,f,,,0,,Air Force,0,0,TRUCK
AFA,TG,G,TRUCK_FIRE FIGHTING,TRUCK_FIRE FIGHTING,0,,,2008,t,f,,,0,,Air Force,0,0,TRUCK_FIRE FIGHTING
AFA,TG,G,TRUCK_FORKLIFT,TRUCK_FORKLIFT,0,,,2011,t,f,,,0,,Air Force,0,0,TRUCK_FORKLIFT
AFA,TG,G,TRUCK_FORKLIFT,TRUCK_FORKLIFT,0,,,2010,t,f,,,0,,Air Force,0,0,TRUCK_FORKLIFT
AFA,,X,TRUNK,TRUNK,0,,,2008,f,f,,,0,,Air Force,0,0,TRUNK
AFA,,X,TRUNK,TRUNK,0,,,2010,f,f,,,0,,Air Force,0,0,TRUNK
AFA,,X,TRUNNION,TRUNNION,0,,,2009,f,f,,,0,,Air Force,0,0,TRUNNION
AFA,,X,TRUNNION,TRUNNION,0,,,2008,f,f,,,0,,Air Force,0,0,TRUNNION
AFA,,X,TRUSS,TRUSS,0,,,2009,f,f,,,0,,Air Force,0,0,TRUSS
AFA,,X,TRUSS,TRUSS,0,,,2012,f,f,,,0,,Air Force,0,0,TRUSS
AFA,,X,TRUSS,TRUSS,0,,,2011,f,f,,,0,,Air Force,0,0,TRUSS
AFA,,X,TRUSS,TRUSS,0,,,2008,f,f,,,0,,Air Force,0,0,TRUSS
AFA,,X,TS-2838,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TS-2838
AFA,,X,TS-2838,TEST EQUIPMENT,0,,,2010,f,t,,,0,,Air Force,0,0,TS-2838
AFA,,X,TS-2838,TEST EQUIPMENT,0,,,2012,f,t,,,0,,Air Force,0,0,TS-2838
